Device ID,In Service,Activation State,Location,Product,Configuration Pending,Provider,Encryption,Firmware Version,Firmware Update Available,Last Received,Comm Status,Commissioned,Key Date,Key Pending Rotation,Latitude,Longitude,Radio Identifiers,Radio Model,Rx Frequency,SSI,Tx Frequency
54100,true,,CLAY-342RMP5,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:15:18.705,Normal,2024-10-17 10:05:38.237,2025-09-17 12:35:05.000,No,39.7777535,-75.8807549,FlexNetId: 50480604,FlexNet900K24,930.5125 MHz,58,901.8375 MHz
45191,true,,LINE-14800RMP2,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:20:48.038,Normal,2019-02-19 09:15:53.542,2025-09-17 10:21:22.000,No,40.01,-75.616,FlexNetId: 50409350,FlexNet900,930.5375 MHz,42,901.8375 MHz
52181,true,,NESHAMIN-141RMP2,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:20:16.257,Normal,2023-06-07 07:32:25.245,2025-09-17 10:17:10.000,No,40.13233,-75.90424,FlexNetId: 50533259,FlexNet900,930.5125 MHz,35,901.8375 MHz
47203,true,,BLUEGRAS-131RMP2,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:20:28.594,Normal,2020-02-25 09:05:53.101,2025-09-17 10:01:33.000,No,40.066,-75.035,FlexNetId: 50530853,FlexNet900,930.5125 MHz,33,901.8875 MHz
54115,true,,EDDINGTO-142T1060,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:20:42.653,Normal,2024-10-17 10:05:39.870,2025-09-17 12:31:20.000,No,40.10388,-74.93799,FlexNetId: 50480864,FlexNet900K24,930.5125 MHz,30,901.8375 MHz
47220,true,,CEDARBRO-138RMP3,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:22:12.181,Normal,2020-02-25 09:05:56.003,2025-09-17 10:04:26.000,No,40.064,-75.18,FlexNetId: 50530856,FlexNet900,930.5125 MHz,41,901.8875 MHz
54091,true,,NORWALES-344RM3,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:21:08.400,Normal,2024-10-17 10:05:37.211,2025-09-17 12:35:05.000,No,40.15745247302016,-75.37178954789297,FlexNetId: 50480603,FlexNet900K24,930.5125 MHz,36,901.8375 MHz
53599,true,,BUCKINGH-366T696,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:22:28.457,Normal,2024-08-15 07:23:39.697,2025-09-17 09:28:30.000,No,40.35612,-75.13295,FlexNetId: 50480574,FlexNet900K24,930.5125 MHz,83,901.8375 MHz
49602,true,,FLINT-146T1355,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:07:59.069,Normal,2021-07-29 10:18:06.826,2023-03-01 20:20:11.000,No,40.06493,-75.357057,FlexNetId: 50531509,FlexNet900,930.5125 MHz,21,901.8375 MHz
49191,true,,NORWALES-344T166,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:15:36.374,Normal,2021-03-14 09:56:49.190,2021-04-02 14:37:22.000,No,40.18037,-75.31132,FlexNetId: 50531244,FlexNet900,930.5125 MHz,23,901.8375 MHz
50467,true,,HOLMESBU-132RMP1,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:20:00.349,Normal,2021-12-09 10:53:08.860,2025-09-17 09:56:05.000,No,40.0402,-75.065,FlexNetId: 50531715,FlexNet900,930.5125 MHz,52,901.8375 MHz
49185,true,,BUCKINGH-361T226,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:21:30.115,Normal,2021-03-14 09:56:50.389,2023-03-01 20:20:10.000,No,40.32589,-75.125151,FlexNetId: 50530982,FlexNet900,930.5125 MHz,50,901.8375 MHz
48275,true,,ISLANDRD-131RMP3,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:17:52.237,Normal,2020-09-25 11:34:11.667,2025-09-17 09:57:54.000,No,39.9045,-75.2489,FlexNetId: 50530482,FlexNet900,930.5375 MHz,37,901.8625 MHz
52786,true,,NORWALES-346T1263,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:16:34.486,Normal,2023-11-20 12:14:05.565,2025-09-17 09:33:02.000,No,40.21005,-75.23209,FlexNetId: 50533603,FlexNet900,930.5125 MHz,34,901.8375 MHz
54105,true,,MARKLEY-133T157,RTMx,Yes,FlexNet,Enabled,4110005,No,2026-07-29 09:12:37.931,Normal,2024-10-17 10:05:38.874,2025-09-17 09:33:34.000,No,40.1244949,-75.3309476,FlexNetId: 50480682,FlexNet900K24,930.5125 MHz,48,901.8375 MHz
43710,true,,LINTON-343T278,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:12:05.719,Normal,2018-10-30 14:17:13.844,2025-09-17 09:28:12.000,No,40.207194,-74.950622,FlexNetId: 50408990,FlexNet900,930.5125 MHz,44,901.8875 MHz
53679,true,,PERKIOME-362T321,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:09:31.965,Normal,2024-08-27 14:45:44.504,2025-09-17 09:33:05.000,No,40.1935388,-75.482015,FlexNetId: 50480498,FlexNet900K24,930.5375 MHz,35,901.8375 MHz
54109,true,,PERKIOME-351T1265,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:15:30.574,Normal,2024-10-17 10:05:39.330,2025-09-17 09:33:33.000,No,40.2358463,-75.4149108,FlexNetId: 50480680,FlexNet900K24,930.5125 MHz,22,901.8375 MHz
54119,true,,BETZWOOD-351T136,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:13:04.871,Normal,2024-10-17 10:05:40.319,2025-09-17 09:33:31.000,No,40.1346248,-75.4890769,FlexNetId: 50480968,FlexNet900K24,930.5125 MHz,47,901.8375 MHz
52272,true,,NESHAMIN-134T103,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:08:47.665,Normal,2023-07-18 09:37:12.412,2025-09-17 09:28:31.000,No,40.1119117,-74.9120524,FlexNetId: 50533221,FlexNet900,930.5125 MHz,25,901.8375 MHz
54494,true,,BYBERRY-184T191,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:17:25.723,Normal,2025-01-28 14:44:07.833,2025-09-17 12:35:05.000,No,40.1593417203459,-75.016322458066,FlexNetId: 50481214,FlexNet900K24,930.5125 MHz,6,901.8375 MHz
54478,true,,NORWALES-344T165,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:12:26.666,Normal,2025-01-28 15:02:04.227,2025-09-17 12:35:05.000,No,40.15765483310437,-75.37228946,FlexNetId: 50481199,FlexNet900K24,930.5125 MHz,42,901.8375 MHz
54500,true,,NEWLINVI-362RM4,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:16:42.694,Normal,2025-01-29 09:27:45.987,2025-09-17 12:32:13.000,No,39.9981794,-75.878194,FlexNetId: 50481218,FlexNet900K24,930.5125 MHz,47,901.8375 MHz
54510,true,,ANGORA-130RMP4,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:17:34.308,Normal,2025-02-10 08:42:49.107,2025-10-05 14:35:11.000,No,39.9385177,-75.2293358,FlexNetId: 50481064,FlexNet900K24,930.5125 MHz,53,901.8375 MHz
54513,true,,ANGORA-130RMP3,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:08:10.186,Normal,2025-02-10 08:42:51.402,2025-10-04 10:53:10.000,No,39.9402336,-75.2313599,FlexNetId: 50481142,FlexNet900K24,930.5125 MHz,61,901.8375 MHz
54515,true,,CROYDON-141T1170,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:10:19.948,Normal,2025-02-10 08:42:52.074,2025-09-17 12:38:45.000,No,40.0921888,-74.9066335,FlexNetId: 50481140,FlexNet900K24,930.5125 MHz,20,901.8375 MHz
54584,true,,LINE-7800T185,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:11:43.551,Normal,2025-05-30 10:59:18.667,2025-06-05 10:12:07.000,No,40.147853,-75.306684,FlexNetId: 50481134,FlexNet900K24,930.5125 MHz,19,901.8375 MHz
54583,true,,ANGORA-130RMP1,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:19:16.343,Normal,2025-05-30 12:50:00.920,2025-06-05 09:49:42.000,No,39.9371331,-75.2326155,FlexNetId: 50481193,FlexNet900K24,930.5125 MHz,61,901.8375 MHz
54585,true,,BELLEVUE-133T134,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:21:36.489,Normal,2025-05-30 14:09:37.845,2025-09-28 09:00:06.000,No,40.1708,-74.95195,FlexNetId: 50481143,FlexNet900K24,930.5125 MHz,16,901.8375 MHz
54586,true,,NORWALES-347T210,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:19:11.425,Normal,2025-06-05 10:41:37.316,2025-09-17 12:33:19.000,No,40.18709,-75.29068,FlexNetId: 50481205,FlexNet900K24,930.5125 MHz,37,901.8375 MHz
54669,true,,NORWALES-353T893,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:17:23.607,Normal,2025-06-05 10:53:08.653,2025-09-17 12:33:19.000,No,40.1694746,-75.294435,FlexNetId: 50481079,FlexNet900K24,930.5125 MHz,10,901.8375 MHz
54678,true,,HEATON-169T128,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:17:55.008,Normal,2025-06-05 11:10:05.769,2025-09-17 12:33:19.000,No,40.13767,-75.15978,FlexNetId: 50481077,FlexNet900K24,930.5125 MHz,27,901.8375 MHz
54881,true,,BELLEVUE-133RM1,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:16:06.991,Normal,2025-06-16 07:16:26.985,2025-10-13 13:08:38.000,No,40.17073,-74.94211,FlexNetId: 50481918,FlexNet900K24,930.5125 MHz,42,901.8375 MHz
54885,true,,JENKINTO-134RM1,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:22:31.074,Normal,2025-06-16 07:16:27.346,2025-10-14 10:53:10.000,No,40.11274,-75.14165,FlexNetId: 50481769,FlexNet900K24,930.5125 MHz,40,901.8375 MHz
54894,true,,BELLEVUE-134RM1,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:22:08.382,Normal,2025-06-16 07:16:28.138,2025-10-14 09:32:54.000,No,40.17421,-74.95559,FlexNetId: 50481743,FlexNet900K24,930.5125 MHz,19,901.8375 MHz
54899,true,,BYBERRY-162RM1,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:13:39.652,Normal,2025-06-16 07:22:31.666,2026-01-27 09:58:54.000,No,40.144,-74.98228,FlexNetId: 50481952,FlexNet900K24,930.5125 MHz,22,901.8375 MHz
54900,true,,LINE-325RMP2,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:20:54.011,Normal,2025-06-16 07:22:31.876,2025-09-30 09:00:44.000,No,39.94481,-75.18147,FlexNetId: 50481784,FlexNet900K24,930.5125 MHz,18,901.8375 MHz
54903,true,,WOODBOUR-361RM2,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:21:33.451,Normal,2025-06-16 07:22:32.124,2025-11-16 12:59:47.000,No,40.21804,-74.92875,FlexNetId: 50481864,FlexNet900K24,930.5125 MHz,77,901.8375 MHz
